quorum_check_enabled,ongaro_lease_enabled,leaseguard_enabled,inherit_lease_enabled,defer_commit_enabled,end_ts,writes,reads
False,False,False,False,False,260251,1,0
False,False,False,False,False,260703,0,1
False,False,False,False,False,260899,0,1
False,False,False,False,False,261296,0,1
False,False,False,False,False,261487,0,1
False,False,False,False,False,261551,1,0
False,False,False,False,False,261660,0,1
False,False,False,False,False,261779,1,0
False,False,False,False,False,262426,0,1
False,False,False,False,False,262671,0,1
False,False,False,False,False,263315,0,1
False,False,False,False,False,263498,0,1
False,False,False,False,False,263510,1,0
False,False,False,False,False,263701,0,1
False,False,False,False,False,264534,0,1
False,False,False,False,False,264729,1,0
False,False,False,False,False,265091,0,1
False,False,False,False,False,265333,1,0
False,False,False,False,False,265760,0,1
False,False,False,False,False,265837,1,0
False,False,False,False,False,265945,0,1
False,False,False,False,False,266359,1,0
False,False,False,False,False,266652,0,1
False,False,False,False,False,266872,0,1
False,False,False,False,False,266873,0,1
False,False,False,False,False,267603,0,1
False,False,False,False,False,268116,1,0
False,False,False,False,False,268429,0,1
False,False,False,False,False,268486,1,0
False,False,False,False,False,269536,0,1
False,False,False,False,False,269573,0,1
False,False,False,False,False,269635,1,0
False,False,False,False,False,269734,0,1
False,False,False,False,False,270023,1,0
False,False,False,False,False,270189,0,1
False,False,False,False,False,270734,0,1
False,False,False,False,False,270960,0,1
False,False,False,False,False,271032,0,1
False,False,False,False,False,271033,1,0
False,False,False,False,False,271261,0,1
False,False,False,False,False,271590,1,0
False,False,False,False,False,272338,0,1
False,False,False,False,False,272969,0,1
False,False,False,False,False,273434,0,1
False,False,False,False,False,273697,0,1
False,False,False,False,False,273883,1,0
False,False,False,False,False,274300,1,0
False,False,False,False,False,274309,0,1
False,False,False,False,False,274477,0,1
False,False,False,False,False,274571,0,1
False,False,False,False,False,274714,1,0
False,False,False,False,False,275744,0,1
False,False,False,False,False,275990,0,1
False,False,False,False,False,276452,0,1
False,False,False,False,False,276499,1,0
False,False,False,False,False,276773,0,1
False,False,False,False,False,276816,0,1
False,False,False,False,False,277197,1,0
